Latitude (decimal degrees):	48.871
Longitude (decimal degrees):	0.300
Elevation (m):	240
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220101:0010,0.0,0.0,0.0,11.26,3.31,0.0
20220101:0110,0.0,0.0,0.0,10.64,3.31,0.0
20220101:0210,0.0,0.0,0.0,10.31,3.52,0.0
20220101:0310,0.0,0.0,0.0,9.9,3.72,0.0
20220101:0410,0.0,0.0,0.0,9.53,3.86,0.0
20220101:0510,0.0,0.0,0.0,9.25,3.86,0.0
20220101:0610,0.0,0.0,0.0,9.0,3.79,0.0
20220101:0710,0.0,0.0,0.0,8.97,3.72,0.0
20220101:0810,0.0,2.72,1.59,8.85,3.93,0.0
20220101:0910,259.1,311.9,8.6,9.31,4.14,0.0
20220101:1010,329.86,389.8,13.94,10.14,4.14,0.0
20220101:1110,256.81,308.36,17.21,10.94,3.59,0.0
20220101:1210,543.26,647.7,18.09,11.94,3.52,0.0
20220101:1310,416.29,497.26,16.5,12.68,3.17,0.0
20220101:1410,13.33,28.38,12.6,13.16,3.38,0.0
20220101:1510,183.07,231.91,6.74,13.03,3.17,0.0
20220101:1610,0.0,0.0,0.0,12.16,3.24,0.0
20220101:1710,0.0,0.0,0.0,11.66,3.38,0.0
20220101:1810,0.0,0.0,0.0,11.42,3.45,0.0
20220101:1910,0.0,0.0,0.0,10.79,3.66,0.0
20220101:2010,0.0,0.0,0.0,10.65,3.59,0.0
20220101:2110,0.0,0.0,0.0,10.41,3.59,0.0
20220101:2210,0.0,0.0,0.0,10.49,3.38,0.0
20220101:2310,0.0,0.0,0.0,10.37,3.17,0.0
20220102:0010,0.0,0.0,0.0,10.03,3.17,0.0
20220102:0110,0.0,0.0,0.0,9.77,3.59,0.0
20220102:0210,0.0,0.0,0.0,9.97,3.93,0.0
20220102:0310,0.0,0.0,0.0,10.6,4.48,0.0
20220102:0410,0.0,0.0,0.0,11.62,5.1,0.0
20220102:0510,0.0,0.0,0.0,11.84,5.24,0.0
20220102:0610,0.0,0.0,0.0,11.72,5.24,0.0
20220102:0710,0.0,0.0,0.0,10.88,4.21,0.0
20220102:0810,0.0,5.43,1.61,10.41,4.34,0.0
20220102:0910,57.07,82.79,8.63,10.5,4.48,0.0
20220102:1010,21.87,39.73,13.99,11.13,4.55,0.0
20220102:1110,49.84,74.73,17.28,12.05,6.21,0.0
20220102:1210,171.15,212.81,18.18,12.44,6.41,0.0
20220102:1310,13.37,28.38,16.61,12.81,6.0,0.0
20220102:1410,36.53,58.65,12.72,12.72,6.48,0.0
20220102:1510,8.23,20.81,6.86,12.42,6.55,0.0
20220102:1610,0.0,0.0,0.0,11.84,6.69,0.0
20220102:1710,0.0,0.0,0.0,11.29,6.48,0.0
20220102:1810,0.0,0.0,0.0,10.91,6.21,0.0
20220102:1910,0.0,0.0,0.0,10.5,6.0,0.0
20220102:2010,0.0,0.0,0.0,10.07,5.1,0.0
20220102:2110,0.0,0.0,0.0,9.55,4.83,0.0
20220102:2210,0.0,0.0,0.0,9.44,4.9,0.0
20220102:2310,0.0,0.0,0.0,9.21,4.76,0.0
20220103:0010,0.0,0.0,0.0,9.08,4.9,0.0
20220103:0110,0.0,0.0,0.0,8.93,4.97,0.0
20220103:0210,0.0,0.0,0.0,8.96,4.9,0.0
20220103:0310,0.0,0.0,0.0,8.84,4.9,0.0
20220103:0410,0.0,0.0,0.0,8.7,4.76,0.0
20220103:0510,0.0,0.0,0.0,8.54,4.48,0.0
20220103:0610,0.0,0.0,0.0,8.39,4.28,0.0
20220103:0710,0.0,0.0,0.0,9.22,4.21,0.0
20220103:0810,0.0,0.91,1.63,9.0,4.62,0.0
20220103:0910,107.88,140.69,8.66,9.43,5.17,0.0
20220103:1010,155.53,193.05,14.04,9.77,6.0,0.0
20220103:1110,105.06,137.69,17.35,10.41,6.07,0.0
20220103:1210,43.89,67.16,18.28,10.57,5.38,0.0
20220103:1310,24.85,43.52,16.72,10.64,5.31,0.0
20220103:1410,17.65,34.06,12.84,10.69,5.45,0.0
20220103:1510,4.19,14.19,6.99,10.35,5.38,0.0
20220103:1610,0.0,0.0,0.0,9.86,4.55,0.0
20220103:1710,0.0,0.0,0.0,9.91,4.83,0.0
20220103:1810,0.0,0.0,0.0,9.97,4.83,0.0
20220103:1910,0.0,0.0,0.0,10.04,4.07,0.0
20220103:2010,0.0,0.0,0.0,9.83,3.03,0.0
20220103:2110,0.0,0.0,0.0,9.65,3.24,0.0
20220103:2210,0.0,0.0,0.0,9.71,3.93,0.0
20220103:2310,0.0,0.0,0.0,9.94,4.48,0.0
