Date - Heure;Date;Heure;Code INSEE région;Région;Consommation brute gaz (MW PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW);flag_ignore
2022-09-25T21:30:00+02:00;2022-09-25;21:30;28;Normandie;;;;;;2501;Consolidé;;non
2022-09-25T23:30:00+02:00;2022-09-25;23:30;28;Normandie;;;;;;2465;Consolidé;;non
2022-09-26T00:00:00+02:00;2022-09-26;00:00;28;Normandie;3747;Redressé;;;3747;2365;Consolidé;6112;non
2022-09-26T06:00:00+02:00;2022-09-26;06:00;28;Normandie;4063;Redressé;;;4063;2476;Consolidé;6539;non
2022-09-26T13:00:00+02:00;2022-09-26;13:00;28;Normandie;4063;Redressé;;;4063;3000;Consolidé;7063;non
2022-09-26T13:30:00+02:00;2022-09-26;13:30;28;Normandie;;;;;;2988;Consolidé;;non
2022-09-26T14:30:00+02:00;2022-09-26;14:30;28;Normandie;;;;;;2806;Consolidé;;non
2022-09-26T15:00:00+02:00;2022-09-26;15:00;28;Normandie;3971;Redressé;;;3971;2723;Consolidé;6694;non
2022-09-26T16:00:00+02:00;2022-09-26;16:00;28;Normandie;3937;Redressé;;;3937;2704;Consolidé;6641;non
2022-09-26T16:30:00+02:00;2022-09-26;16:30;28;Normandie;;;;;;2212;Consolidé;;non
2022-09-26T19:30:00+02:00;2022-09-26;19:30;28;Normandie;;;;;;2948;Consolidé;;non
2022-09-26T21:00:00+02:00;2022-09-26;21:00;28;Normandie;3928;Redressé;;;3928;2888;Consolidé;6816;non
2022-09-27T00:00:00+02:00;2022-09-27;00:00;28;Normandie;3628;Redressé;;;3628;2613;Consolidé;6241;non
2022-09-27T02:30:00+02:00;2022-09-27;02:30;28;Normandie;;;;;;2276;Consolidé;;non
