Date - Heure;Date;Heure;Code INSEE région;Région;Consommation brute gaz (MW PCS 0°C) - NaTran;Statut - NaTran;Consommation brute gaz (MW PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (MW PCS 0°C);Consommation brute électricité (MW) - RTE;Statut - RTE;Consommation brute totale (MW);flag_ignore
2020-03-06T17:30:00+01:00;2020-03-06;17:30;76;Occitanie;;;;;;5253;Consolidé;;non
2020-03-06T18:00:00+01:00;2020-03-06;18:00;76;Occitanie;1203;Définitif;3108;Définitif;4311;5400;Consolidé;9711;non
2020-03-06T19:00:00+01:00;2020-03-06;19:00;76;Occitanie;1255;Définitif;3135;Définitif;4390;6047;Consolidé;10437;non
2020-03-06T22:30:00+01:00;2020-03-06;22:30;76;Occitanie;;;;;;5426;Consolidé;;non
2020-03-07T04:30:00+01:00;2020-03-07;04:30;76;Occitanie;;;;;;4637;Consolidé;;non
2020-03-07T05:00:00+01:00;2020-03-07;05:00;76;Occitanie;959;Définitif;2639;Définitif;3598;4611;Consolidé;8209;non
2020-03-07T05:30:00+01:00;2020-03-07;05:30;76;Occitanie;;;;;;4678;Consolidé;;non
2020-03-07T09:00:00+01:00;2020-03-07;09:00;76;Occitanie;1157;Définitif;3081;Définitif;4238;5315;Consolidé;9553;non
2020-03-07T10:00:00+01:00;2020-03-07;10:00;76;Occitanie;1069;Définitif;2875;Définitif;3944;5351;Consolidé;9295;non
2020-03-07T15:00:00+01:00;2020-03-07;15:00;76;Occitanie;779;Définitif;2168;Définitif;2947;4832;Consolidé;7779;non
2020-03-07T17:30:00+01:00;2020-03-07;17:30;76;Occitanie;;;;;;4623;Consolidé;;non
2020-03-07T21:00:00+01:00;2020-03-07;21:00;76;Occitanie;1002;Définitif;2372;Définitif;3374;5229;Consolidé;8603;non
2020-03-01T16:30:00+01:00;2020-03-01;16:30;76;Occitanie;;;;;;3802;Consolidé;;non
2020-03-01T17:30:00+01:00;2020-03-01;17:30;76;Occitanie;;;;;;3821;Consolidé;;non
2020-03-01T19:00:00+01:00;2020-03-01;19:00;76;Occitanie;1020;Définitif;2128;Définitif;3148;4754;Consolidé;7902;non
2020-03-02T02:30:00+01:00;2020-03-02;02:30;76;Occitanie;;;;;;4261;Consolidé;;non
2020-03-02T07:30:00+01:00;2020-03-02;07:30;76;Occitanie;;;;;;4901;Consolidé;;non
2020-03-02T10:00:00+01:00;2020-03-02;10:00;76;Occitanie;1060;Définitif;2789;Définitif;3849;5268;Consolidé;9117;non
2020-03-02T14:30:00+01:00;2020-03-02;14:30;76;Occitanie;;;;;;5291;Consolidé;;non
2020-03-02T16:00:00+01:00;2020-03-02;16:00;76;Occitanie;1022;Définitif;2717;Définitif;3739;5083;Consolidé;8822;non
2020-03-03T05:30:00+01:00;2020-03-03;05:30;76;Occitanie;;;;;;4731;Consolidé;;non
2020-03-03T11:00:00+01:00;2020-03-03;11:00;76;Occitanie;1223;Définitif;3125;Définitif;4348;5741;Consolidé;10089;non
2020-03-03T11:30:00+01:00;2020-03-03;11:30;76;Occitanie;;;;;;5776;Consolidé;;non
2020-03-03T14:00:00+01:00;2020-03-03;14:00;76;Occitanie;1108;Définitif;3030;Définitif;4138;5972;Consolidé;10110;non
2020-03-03T14:30:00+01:00;2020-03-03;14:30;76;Occitanie;;;;;;5882;Consolidé;;non
2020-03-03T15:30:00+01:00;2020-03-03;15:30;76;Occitanie;;;;;;5740;Consolidé;;non
2020-03-03T16:00:00+01:00;2020-03-03;16:00;76;Occitanie;1182;Définitif;3114;Définitif;4296;5680;Consolidé;9976;non
2020-03-03T18:00:00+01:00;2020-03-03;18:00;76;Occitanie;1303;Définitif;3154;Définitif;4457;5681;Consolidé;10138;non
2020-03-03T20:30:00+01:00;2020-03-03;20:30;76;Occitanie;;;;;;5958;Consolidé;;non
2020-03-03T21:30:00+01:00;2020-03-03;21:30;76;Occitanie;;;;;;5581;Consolidé;;non
2020-03-07T23:30:00+01:00;2020-03-07;23:30;76;Occitanie;;;;;;5242;Consolidé;;non
2020-03-08T04:00:00+01:00;2020-03-08;04:00;76;Occitanie;800;Définitif;2046;Définitif;2846;4430;Consolidé;7276;non
2020-03-08T10:30:00+01:00;2020-03-08;10:30;76;Occitanie;;;;;;4806;Consolidé;;non
2020-03-08T15:30:00+01:00;2020-03-08;15:30;76;Occitanie;;;;;;3978;Consolidé;;non
2020-03-08T17:00:00+01:00;2020-03-08;17:00;76;Occitanie;805;Définitif;1952;Définitif;2757;3918;Consolidé;6675;non
2020-03-08T20:00:00+01:00;2020-03-08;20:00;76;Occitanie;933;Définitif;2178;Définitif;3111;5073;Consolidé;8184;non
2020-03-08T20:30:00+01:00;2020-03-08;20:30;76;Occitanie;;;;;;4955;Consolidé;;non
2020-03-08T22:00:00+01:00;2020-03-08;22:00;76;Occitanie;761;Définitif;1844;Définitif;2605;4497;Consolidé;7102;non
2020-03-09T00:00:00+01:00;2020-03-09;00:00;76;Occitanie;794;Définitif;1646;Définitif;2440;4896;Consolidé;7336;non
2020-03-09T01:00:00+01:00;2020-03-09;01:00;76;Occitanie;784;Définitif;1714;Définitif;2498;4475;Consolidé;6973;non
2020-03-09T02:00:00+01:00;2020-03-09;02:00;76;Occitanie;794;Définitif;1776;Définitif;2570;4432;Consolidé;7002;non
2020-03-09T04:30:00+01:00;2020-03-09;04:30;76;Occitanie;;;;;;4114;Consolidé;;non
2020-03-09T07:30:00+01:00;2020-03-09;07:30;76;Occitanie;;;;;;5223;Consolidé;;non
2020-03-09T08:30:00+01:00;2020-03-09;08:30;76;Occitanie;;;;;;5315;Consolidé;;non
2020-03-09T10:00:00+01:00;2020-03-09;10:00;76;Occitanie;1020;Définitif;2808;Définitif;3828;5332;Consolidé;9160;non
2020-03-09T13:30:00+01:00;2020-03-09;13:30;76;Occitanie;;;;;;5358;Consolidé;;non
2020-03-09T14:00:00+01:00;2020-03-09;14:00;76;Occitanie;822;Définitif;2304;Définitif;3126;5244;Consolidé;8370;non
2020-03-09T17:00:00+01:00;2020-03-09;17:00;76;Occitanie;925;Définitif;2654;Définitif;3579;4815;Consolidé;8394;non
2020-03-09T18:30:00+01:00;2020-03-09;18:30;76;Occitanie;;;;;;5244;Consolidé;;non
2020-03-09T19:00:00+01:00;2020-03-09;19:00;76;Occitanie;1102;Définitif;2713;Définitif;3815;5657;Consolidé;9472;non
2020-03-09T20:30:00+01:00;2020-03-09;20:30;76;Occitanie;;;;;;5447;Consolidé;;non
2020-03-09T22:00:00+01:00;2020-03-09;22:00;76;Occitanie;946;Définitif;2181;Définitif;3127;4958;Consolidé;8085;non
2020-03-04T04:00:00+01:00;2020-03-04;04:00;76;Occitanie;852;Définitif;2414;Définitif;3266;4741;Consolidé;8007;non
2020-03-04T07:30:00+01:00;2020-03-04;07:30;76;Occitanie;;;;;;5739;Consolidé;;non
2020-03-04T16:30:00+01:00;2020-03-04;16:30;76;Occitanie;;;;;;5338;Consolidé;;non
